,Name,ex_scroll,total_app,offset,min
306,ACG24,0,1,0,1
307,BADLOSS,0,1,0,1
308,BUCKETMOUTH,0,1,0,1
309,"SPRAY IT AGAIN, SAM.",0,1,0,1
310,ROCK THE POCKET,0,1,0,1
311,KUMA01,0,1,0,1
312,FT4,0,1,0,1
313,ATMOSPHERE,0,1,0,1
314,ROCK THE PINCH,0,1,0,1
315,DARK MATTER,0,1,0,1
316,I LOVE JEMMY WIBB,0,1,0,1
317,SUNFISH,0,1,0,1
318,BLACK HOLE,0,1,0,1
319,KUMA02,0,1,0,1
320,SENSEI,0,1,0,1
321,BUNNY,0,1,0,1
322,THE GREY,0,1,0,1
323,AFONFEE,0,1,0,1
324,AFONFE,0,3,1,3
325,TIZIO,0,1,0,1
326,GENE,0,1,0,1
327,STRING! LEADER,0,1,0,1
328,4X4 VARIANT,0,1,0,1
329,CUSTODEAN,0,1,0,1
330,STRATOS,0,1,0,1
331,WARM UP NUMBER ONE,0,1,0,1
332,WARM UP NUMBER TWO,0,1,0,1
333,HOCUS POCUS,0,1,0,1
334,AN CAP V3,0,1,0,1
335,EASY STREET,0,1,0,1
336,DRAG IT,0,1,0,1
337,LOCK DOWN,0,1,0,1
338,THE META,0,1,0,1
339,BLINDSIDE,0,1,0,1
340,BLACKFISH,0,1,0,1
341,WU ae,0,1,0,1
342,MARTIN'S PROBLEM 1,0,1,0,1
343,WINGNUT,0,1,0,1
344,MOLLY,0,1,0,1
345,KUMA03,0,1,0,1
346,TRAILERPARK,0,1,0,1
347,TATIANA,0,1,0,1
348,GLORFINDEL,0,1,0,1
349,MITICUS,0,1,0,1
350,MORDIMI,0,1,0,1
351,PICCOLE RIGHE,0,1,0,1
352,BRIAN 3,0,1,0,1
353,NORTH DAKOTA,0,1,0,1
354,JOSH 1,0,1,0,1
355,JOSH 2,0,1,0,1
356,ACG25,0,1,0,1
357,MONKEY FLAG,0,1,0,1
358,CROSS,2,250,0,9
359,JERBEAR,0,1,0,1
360,CLEAR AS MUNT,0,1,0,1
361,L6,0,1,0,1
362,STUBBY,0,1,0,1
363,SNEAKY DOUBLE,0,1,0,1
364,FLOAT LIKE A BUTTERFLY,0,1,0,1
365,STING LIKE A BEE,0,1,0,1
366,AN CAP V4,0,1,0,1
367,JERBEAR 2,0,1,0,1
368,JERBEAR 3,0,1,0,1
369,JERBEAR 4,0,1,0,1
370,JERBEAR 5,0,1,0,1
371,DV,0,1,0,1
372,STRONK,0,1,0,1
373,ABRAKADABRA,0,1,0,1
374,SANDMAN,0,1,0,1
375,IDIOPATHIC (7C+/8A),0,1,0,1
376,MYOCARDITIS (7B+/7C),0,1,0,1
377,MRSA 7B+/7C (FIXED),0,1,0,1
378,FINGER BANG,0,1,0,1
379,APACHE THE PIG,0,1,0,1
380,CHEDDAR BOB CUTS LOOSE,0,1,0,1
381,RUMBLE IN THE JUNGLE,0,1,0,1
382,MELANOMA (7A+/7B),0,1,0,1
383,DO DO FOR ME,0,1,0,1
384,DEATH PROOF,0,1,0,1
385,RIG DE JOUR,0,1,0,1
386,JOSH 4,0,1,0,1
387,CALLA,0,1,0,1
388,BOOM BOOM,0,1,0,1
389,DU SPICCI,0,1,0,1
390,VALENTINA NAPPI,0,1,0,1
391,BOGLI FOR PRESIDENT,0,1,0,1
392,JERBEAR 6,0,1,0,1
393,PUMPY,0,1,0,1
394,SMOKING AREA,0,1,0,1
